icd9	description
25512	conns syndrome
25513	bartters syndrome
25514	other secondary aldosteronism
2552	adrenogenital disorders
2553	other corticoadrenal overactivity
25541	glucocorticoid deficiency
25542	mineralocorticoid deficiency
2555	other adrenal hypofunction
2556	medulloadrenal hyperfunction
2558	other specified disorders of adrenal glands
2559	unspecified disorder of adrenal glands
2560	hyperestrogenism
2561	other ovarian hyperfunction
2562	postablative ovarian failure
25631	premature menopause
25639	other ovarian failure
2564	polycystic ovaries
2568	other ovarian dysfunction
2569	unspecified ovarian dysfunction
2570	testicular hyperfunction
2571	postablative testicular hypofunction
2572	other testicular hypofunction
2578	other testicular dysfunction
2579	unspecified testicular dysfunction
25801	multiple endocrine neoplasia men type i
25802	multiple endocrine neoplasia men type iia
25803	multiple endocrine neoplasia men type iib
2581	other combinations of endocrine dysfunction
2588	other specified polyglandular dysfunction
2589	polyglandular dysfunction unspecified
2590	delay in sexual development and puberty not elsewhere classified
2591	precocious sexual development and puberty not elsewhere classified
2592	carcinoid syndrome
2593	ectopic hormone secretion not elsewhere classified
2594	dwarfism not elsewhere classified
25950	androgen insensitivity unspecified
25951	androgen insensitivity syndrome
25952	partial androgen insensitivity
2598	other specified endocrine disorders
2599	unspecified endocrine disorder
260	kwashiorkor
261	nutritional marasmus
262	other severe protein calorie malnutrition
2630	malnutrition of moderate degree
2631	malnutrition of mild degree
2632	arrested development following protein calorie malnutrition
2638	other protein calorie malnutrition
2639	unspecified protein calorie malnutrition
2640	vitamin a deficiency with conjunctival xerosis
2641	vitamin a deficiency with conjunctival xerosis and bitots spot
2642	vitamin a deficiency with corneal xerosis
2643	vitamin a deficiency with corneal ulceration and xerosis
2644	vitamin a deficiency with keratomalacia
2645	vitamin a deficiency with night blindness
2646	vitamin a deficiency with xerophthalmic scars of cornea
2647	other ocular manifestations of vitamin a deficiency
2648	other manifestations of vitamin a deficiency
2649	unspecified vitamin a deficiency
2650	beriberi
2651	other and unspecified manifestations of thiamine deficiency
2652	pellagra
2660	ariboflavinosis
2661	vitamin b6 deficiency
2662	other b complex deficiencies
2669	unspecified vitamin b deficiency
267	ascorbic acid deficiency
2680	rickets active
2681	rickets late effect
2682	osteomalacia unspecified
2689	unspecified vitamin d deficiency
2690	deficiency of vitamin k
2691	deficiency of other vitamins
2692	unspecified vitamin deficiency
2693	mineral deficiency not elsewhere classified
2698	other nutritional deficiency
2699	unspecified nutritional deficiency
2700	disturbances of amino acid transport
2701	phenylketonuria pku
2702	other disturbances of aromatic amino acid metabolism
2703	disturbances of branched chain amino acid metabolism
2704	disturbances of sulphur bearing amino acid metabolism
2705	disturbances of histidine metabolism
2706	disorders of urea cycle metabolism
2707	other disturbances of straight chain amino acid metabolism
2708	other specified disorders of amino acid metabolism
2709	unspecified disorder of amino acid metabolism
2710	glycogenosis
2711	galactosemia
2712	hereditary fructose intolerance
2713	intestinal disaccharidase deficiencies and disaccharide malabsorption
2714	renal glycosuria
2718	other specified disorders of carbohydrate transport and metabolism
2719	unspecified disorder of carbohydrate transport and metabolism
2720	pure hypercholesterolemia
2721	pure hyperglyceridemia
2722	mixed hyperlipidemia
2723	hyperchylomicronemia
2724	other and unspecified hyperlipidemia
2725	lipoprotein deficiencies
2726	lipodystrophy
2727	lipidoses
2728	other disorders of lipoid metabolism
2729	unspecified disorder of lipoid metabolism
2730	polyclonal hypergammaglobulinemia
2731	monoclonal paraproteinemia
2732	other paraproteinemias
2733	macroglobulinemia
2734	alpha 1 antitrypsin deficiency
2738	other disorders of plasma protein metabolism
2739	unspecified disorder of plasma protein metabolism
27400	gouty arthropathy unspecified
27401	acute gouty arthropathy
27402	chronic gouty arthropathy without mention of tophus tophi
27403	chronic gouty arthropathy with tophus tophi
27410	gouty nephropathy unspecified
27411	uric acid nephrolithiasis
27419	other gouty nephropathy
27481	gouty tophi of ear
27482	gouty tophi of other sites except ear
27489	gout with other specified manifestations
2749	gout unspecified
27501	hereditary hemochromatosis
27502	hemochromatosis due to repeated red blood cell transfusions
27503	other hemochromatosis
27509	other disorders of iron metabolism
2751	disorders of copper metabolism
2752	disorders of magnesium metabolism
2753	disorders of phosphorus metabolism
27540	unspecified disorder of calcium metabolism
27541	hypocalcemia
27542	hypercalcemia
27549	other disorders of calcium metabolism
2755	hungry bone syndrome
2758	other specified disorders of mineral metabolism
2759	unspecified disorder of mineral metabolism
2760	hyperosmolality and or hypernatremia
2761	hyposmolality and or hyponatremia
2762	acidosis
2763	alkalosis
2764	mixed acid base balance disorder
27650	volume depletion unspecified
27651	dehydration
27652	hypovolemia
27661	transfusion associated circulatory overload
27669	other fluid overload
2767	hyperpotassemia
2768	hypopotassemia
2769	electrolyte and fluid disorders not elsewhere classified
27700	cystic fibrosis without mention of meconium ileus
27701	cystic fibrosis with meconium ileus
27702	cystic fibrosis with pulmonary manifestations
27703	cystic fibrosis with gastrointestinal manifestations
27709	cystic fibrosis with other manifestations
2771	disorders of porphyrin metabolism
2772	other disorders of purine and pyrimidine metabolism
27730	amyloidosis unspecified
27731	familial mediterranean fever
27739	other amyloidosis
2774	disorders of bilirubin excretion
2775	mucopolysaccharidosis
2776	other deficiencies of circulating enzymes
2777	dysmetabolic syndrome x
27781	primary carnitine deficiency
27782	carnitine deficiency due to inborn errors of metabolism
27783	iatrogenic carnitine deficiency
27784	other secondary carnitine deficiency
27785	disorders of fatty acid oxidation
27786	peroxisomal disorders
27787	disorders of mitochondrial metabolism
27788	tumor lysis syndrome
27789	other specified disorders of metabolism
2779	unspecified disorder of metabolism
27800	obesity unspecified
27801	morbid obesity
27802	overweight
27803	obesity hypoventilation syndrome
2781	localized adiposity
2782	hypervitaminosis a
2783	hypercarotinemia
2784	hypervitaminosis d
2788	other hyperalimentation
27900	hypogammaglobulinemia unspecified
27901	selective iga immunodeficiency
27902	selective igm immunodeficiency
27903	other selective immunoglobulin deficiencies
27904	congenital hypogammaglobulinemia
27905	immunodeficiency with increased igm
27906	common variable immunodeficiency
27909	other deficiency of humoral immunity
27910	immunodeficiency with predominant t cell defect unspecified
27911	digeorges syndrome
27912	wiskott aldrich syndrome
27913	nezelofs syndrome
27919	other deficiency of cell mediated immunity
2792	combined immunity deficiency
2793	unspecified immunity deficiency
27941	autoimmune lymphoproliferative syndrome
27949	autoimmune disease not elsewhere classified
27950	graft versus host disease unspecified
27951	acute graft versus host disease
27952	chronic graft versus host disease
27953	acute on chronic graft versus host disease
2798	other specified disorders involving the immune mechanism
2799	unspecified disorder of immune mechanism
2800	iron deficiency anemia secondary to blood loss chronic
2801	iron deficiency anemia secondary to inadequate dietary iron intake
2808	other specified iron deficiency anemias
2809	iron deficiency anemia unspecified
2810	pernicious anemia
2811	other vitamin b12 deficiency anemia
2812	folate deficiency anemia
2813	other specified megaloblastic anemias not elsewhere classified
2814	protein deficiency anemia
2818	anemia associated with other specified nutritional deficiency
2819	unspecified deficiency anemia
2820	hereditary spherocytosis
2821	hereditary elliptocytosis
2822	anemias due to disorders of glutathione metabolism
2823	other hemolytic anemias due to enzyme deficiency
28240	thalassemia unspecified
28241	sickle cell thalassemia without crisis
28242	sickle cell thalassemia with crisis
28243	alpha thalassemia
28244	beta thalassemia
28245	delta beta thalassemia
28246	thalassemia minor
28247	hemoglobin e beta thalassemia
28249	other thalassemia
2825	sickle cell trait
28260	sickle cell disease unspecified
28261	hb ss disease without crisis
28262	hb ss disease with crisis
28263	sickle cell hb c disease without crisis
28264	sickle cell hb c disease with crisis
28268	other sickle cell disease without crisis
28269	other sickle cell disease with crisis
2827	other hemoglobinopathies
2828	other specified hereditary hemolytic anemias
2829	hereditary hemolytic anemia unspecified
2830	autoimmune hemolytic anemias
28310	non autoimmune hemolytic anemia unspecified
28311	hemolytic uremic syndrome
28319	other non autoimmune hemolytic anemias
2832	hemoglobinuria due to hemolysis from external causes
2839	acquired hemolytic anemia unspecified
28401	constitutional red blood cell aplasia
28409	other constitutional aplastic anemia
28411	antineoplastic chemotherapy induced pancytopenia
28412	other drug induced pancytopenia
28419	other pancytopenia
2842	myelophthisis
28481	red cell aplasia acquired adult with thymoma
28489	other specified aplastic anemias
2849	aplastic anemia unspecified
2850	sideroblastic anemia
2851	acute posthemorrhagic anemia
28521	anemia in chronic kidney disease
28522	anemia in neoplastic disease
28529	anemia of other chronic disease
2853	antineoplastic chemotherapy induced anemia
2858	other specified anemias
2859	anemia unspecified
2860	congenital factor viii disorder
2861	congenital factor ix disorder
2862	congenital factor xi deficiency
2863	congenital deficiency of other clotting factors
2864	von willebrands disease
28652	acquired hemophilia
28653	antiphospholipid antibody with hemorrhagic disorder
28659	other hemorrhagic disorder due to intrinsic circulating anticoagulants antibodies or inhibitors
2866	defibrination syndrome
2867	acquired coagulation factor deficiency
2869	other and unspecified coagulation defects
2870	allergic purpura
2871	qualitative platelet defects
2872	other nonthrombocytopenic purpuras
28730	primary thrombocytopenia unspecified
28731	immune thrombocytopenic purpura
28732	evans syndrome
28733	congenital and hereditary thrombocytopenic purpura
28739	other primary thrombocytopenia
28741	posttransfusion purpura
28749	other secondary thrombocytopenia
2875	thrombocytopenia unspecified
2878	other specified hemorrhagic conditions
2879	unspecified hemorrhagic conditions
28800	neutropenia unspecified
28801	congenital neutropenia
28802	cyclic neutropenia
28803	drug induced neutropenia
28804	neutropenia due to infection
28809	other neutropenia
2881	functional disorders of polymorphonuclear neutrophils
2882	genetic anomalies of leukocytes
2883	eosinophilia
2884	hemophagocytic syndromes
28850	leukocytopenia unspecified
28851	lymphocytopenia
28859	other decreased white blood cell count
28860	leukocytosis unspecified
28861	lymphocytosis symptomatic
28862	leukemoid reaction
28863	monocytosis symptomatic
28864	plasmacytosis
28865	basophilia
28866	bandemia
28869	other elevated white blood cell count
2888	other specified disease of white blood cells
2889	unspecified disease of white blood cells
2890	polycythemia secondary
2891	chronic lymphadenitis
2892	nonspecific mesenteric lymphadenitis
2893	lymphadenitis unspecified except mesenteric
2894	hypersplenism
28950	disease of spleen unspecified
28951	chronic congestive splenomegaly
28952	splenic sequestration
28953	neutropenic splenomegaly
28959	other diseases of spleen
2896	familial polycythemia
2897	methemoglobinemia
28981	primary hypercoagulable state
28982	secondary hypercoagulable state
28983	myelofibrosis
28984	heparin induced thrombocytopenia hit
28989	other specified diseases of blood and blood forming organs
2899	unspecified diseases of blood and blood forming organs
2900	senile dementia uncomplicated
29010	presenile dementia uncomplicated
29011	presenile dementia with delirium
29012	presenile dementia with delusional features
29013	presenile dementia with depressive features
29020	senile dementia with delusional features
29021	senile dementia with depressive features
2903	senile dementia with delirium
29040	vascular dementia uncomplicated
29041	vascular dementia with delirium
29042	vascular dementia with delusions
29043	vascular dementia with depressed mood
2908	other specified senile psychotic conditions
2909	unspecified senile psychotic condition
2910	alcohol withdrawal delirium
2911	alcohol induced persisting amnestic disorder
2912	alcohol induced persisting dementia
2913	alcohol induced psychotic disorder with hallucinations
2914	idiosyncratic alcohol intoxication
2915	alcohol induced psychotic disorder with delusions
29181	alcohol withdrawal
29182	alcohol induced sleep disorders
29189	other alcohol induced mental disorders
2919	unspecified alcohol induced mental disorders
2920	drug withdrawal
29211	drug induced psychotic disorder with delusions
29212	drug induced psychotic disorder with hallucinations
2922	pathological drug intoxication
29281	drug induced delirium
29282	drug induced persisting dementia
29283	drug induced persisting amnestic disorder
29284	drug induced mood disorder
29285	drug induced sleep disorders
29289	other specified drug induced mental disorders
2929	unspecified drug induced mental disorder
2930	delirium due to conditions classified elsewhere
2931	subacute delirium
29381	psychotic disorder with delusions in conditions classified elsewhere
29382	psychotic disorder with hallucinations in conditions classified elsewhere
29383	mood disorder in conditions classified elsewhere
29384	anxiety disorder in conditions classified elsewhere
29389	other specified transient mental disorders due to conditions classified elsewhere other
2939	unspecified transient mental disorder in conditions classified elsewhere
2940	amnestic disorder in conditions classified elsewhere
29410	dementia in conditions classified elsewhere without behavioral disturbance
29411	dementia in conditions classified elsewhere with behavioral disturbance
29420	dementia unspecified without behavioral disturbance
29421	dementia unspecified with behavioral disturbance
2948	other persistent mental disorders due to conditions classified elsewhere
2949	unspecified persistent mental disorders due to conditions classified elsewhere
29500	simple type schizophrenia unspecified
29501	simple type schizophrenia subchronic
29502	simple type schizophrenia chronic
29503	simple type schizophrenia subchronic with acute exacerbation
29504	simple type schizophrenia chronic with acute exacerbation
29505	simple type schizophrenia in remission
29510	disorganized type schizophrenia unspecified
29511	disorganized type schizophrenia subchronic
29512	disorganized type schizophrenia chronic
29513	disorganized type schizophrenia subchronic with acute exacerbation
29514	disorganized type schizophrenia chronic with acute exacerbation
29515	disorganized type schizophrenia in remission
29520	catatonic type schizophrenia unspecified
29521	catatonic type schizophrenia subchronic
29522	catatonic type schizophrenia chronic
29523	catatonic type schizophrenia subchronic with acute exacerbation
29524	catatonic type schizophrenia chronic with acute exacerbation
29525	catatonic type schizophrenia in remission
29530	paranoid type schizophrenia unspecified
29531	paranoid type schizophrenia subchronic
29532	paranoid type schizophrenia chronic
29533	paranoid type schizophrenia subchronic with acute exacerbation
29534	paranoid type schizophrenia chronic with acute exacerbation
29535	paranoid type schizophrenia in remission
29540	schizophreniform disorder unspecified
29541	schizophreniform disorder subchronic
29542	schizophreniform disorder chronic
29543	schizophreniform disorder subchronic with acute exacerbation
29544	schizophreniform disorder chronic with acute exacerbation
29545	schizophreniform disorder in remission
29550	latent schizophrenia unspecified
29551	latent schizophrenia subchronic
29552	latent schizophrenia chronic
29553	latent schizophrenia subchronic with acute exacerbation
29554	latent schizophrenia chronic with acute exacerbation
29555	latent schizophrenia in remission
29560	schizophrenic disorders residual type unspecified
29561	schizophrenic disorders residual type subchronic
29562	schizophrenic disorders residual type chronic
29563	schizophrenic disorders residual type subchronic with acute exacerbation
29564	schizophrenic disorders residual type chronic with acute exacerbation
29565	schizophrenic disorders residual type in remission
29570	schizoaffective disorder unspecified
29571	schizoaffective disorder subchronic
29572	schizoaffective disorder chronic
29573	schizoaffective disorder subchronic with acute exacerbation
29574	schizoaffective disorder chronic with acute exacerbation
29575	schizoaffective disorder in remission
29580	other specified types of schizophrenia unspecified
29581	other specified types of schizophrenia subchronic
29582	other specified types of schizophrenia chronic
29583	other specified types of schizophrenia subchronic with acute exacerbation
29584	other specified types of schizophrenia chronic with acute exacerbation
29585	other specified types of schizophrenia in remission
29590	unspecified schizophrenia unspecified
29591	unspecified schizophrenia subchronic
29592	unspecified schizophrenia chronic
29593	unspecified schizophrenia subchronic with acute exacerbation
29594	unspecified schizophrenia chronic with acute exacerbation
29595	unspecified schizophrenia in remission
29600	bipolar i disorder single manic episode unspecified
29601	bipolar i disorder single manic episode mild
29602	bipolar i disorder single manic episode moderate
29603	bipolar i disorder single manic episode severe without mention of psychotic behavior
29604	bipolar i disorder single manic episode severe specified as with psychotic behavior
29605	bipolar i disorder single manic episode in partial or unspecified remission
29606	bipolar i disorder single manic episode in full remission
29610	manic affective disorder recurrent episode unspecified
29611	manic affective disorder recurrent episode mild
29612	manic affective disorder recurrent episode moderate
29613	manic affective disorder recurrent episode severe without mention of psychotic behavior
29614	manic affective disorder recurrent episode severe specified as with psychotic behavior
29615	manic affective disorder recurrent episode in partial or unspecified remission
29616	manic affective disorder recurrent episode in full remission
29620	major depressive affective disorder single episode unspecified
29621	major depressive affective disorder single episode mild
29622	major depressive affective disorder single episode moderate
29623	major depressive affective disorder single episode severe without mention of psychotic behavior
29624	major depressive affective disorder single episode severe specified as with psychotic behavior
29625	major depressive affective disorder single episode in partial or unspecified remission
29626	major depressive affective disorder single episode in full remission
29630	major depressive affective disorder recurrent episode unspecified
29631	major depressive affective disorder recurrent episode mild
29632	major depressive affective disorder recurrent episode moderate
29633	major depressive affective disorder recurrent episode severe without mention of psychotic behavior
29634	major depressive affective disorder recurrent episode severe specified as with psychotic behavior
29635	major depressive affective disorder recurrent episode in partial or unspecified remission
29636	major depressive affective disorder recurrent episode in full remission
29640	bipolar i disorder most recent episode or current manic unspecified
29641	bipolar i disorder most recent episode or current manic mild
29642	bipolar i disorder most recent episode or current manic moderate
29643	bipolar i disorder most recent episode or current manic severe without mention of psychotic behavior
29644	bipolar i disorder most recent episode or current manic severe specified as with psychotic behavior
29645	bipolar i disorder most recent episode or current manic in partial or unspecified remission
29646	bipolar i disorder most recent episode or current manic in full remission
29650	bipolar i disorder most recent episode or current depressed unspecified
29651	bipolar i disorder most recent episode or current depressed mild
29652	bipolar i disorder most recent episode or current depressed moderate
29653	bipolar i disorder most recent episode or current depressed severe without mention of psychotic behavior
29654	bipolar i disorder most recent episode or current depressed severe specified as with psychotic behavior
29655	bipolar i disorder most recent episode or current depressed in partial or unspecified remission
29656	bipolar i disorder most recent episode or current depressed in full remission
29660	bipolar i disorder most recent episode or current mixed unspecified
29661	bipolar i disorder most recent episode or current mixed mild
29662	bipolar i disorder most recent episode or current mixed moderate
29663	bipolar i disorder most recent episode or current mixed severe without mention of psychotic behavior
29664	bipolar i disorder most recent episode or current mixed severe specified as with psychotic behavior
29665	bipolar i disorder most recent episode or current mixed in partial or unspecified remission
29666	bipolar i disorder most recent episode or current mixed in full remission
2967	bipolar i disorder most recent episode or current unspecified
29680	bipolar disorder unspecified
29681	atypical manic disorder
29682	atypical depressive disorder
29689	other bipolar disorders
29690	unspecified episodic mood disorder
29699	other specified episodic mood disorder
2970	paranoid state simple
2971	delusional disorder
2972	paraphrenia
2973	shared psychotic disorder
2978	other specified paranoid states
2979	unspecified paranoid state
2980	depressive type psychosis
2981	excitative type psychosis
2982	reactive confusion
2983	acute paranoid reaction
2984	psychogenic paranoid psychosis
2988	other and unspecified reactive psychosis
2989	unspecified psychosis
29900	autistic disorder current or active state
29901	autistic disorder residual state
29910	childhood disintegrative disorder current or active state
29911	childhood disintegrative disorder residual state
29980	other specified pervasive developmental disorders current or active state
29981	other specified pervasive developmental disorders residual state
29990	unspecified pervasive developmental disorder current or active state
29991	unspecified pervasive developmental disorder residual state
30000	anxiety state unspecified
30001	panic disorder without agoraphobia
30002	generalized anxiety disorder
30009	other anxiety states
30010	hysteria unspecified
30011	conversion disorder
30012	dissociative amnesia
30013	dissociative fugue
30014	dissociative identity disorder
30015	dissociative disorder or reaction unspecified
30016	factitious disorder with predominantly psychological signs and symptoms
30019	other and unspecified factitious illness
30020	phobia unspecified
30021	agoraphobia with panic disorder
30022	agoraphobia without mention of panic attacks
30023	social phobia
30029	other isolated or specific phobias
3003	obsessive compulsive disorders
3004	dysthymic disorder
3005	neurasthenia
3006	depersonalization disorder
3007	hypochondriasis
30081	somatization disorder
30082	undifferentiated somatoform disorder
30089	other somatoform disorders
3009	unspecified nonpsychotic mental disorder
3010	paranoid personality disorder
30110	affective personality disorder unspecified
30111	chronic hypomanic personality disorder
30112	chronic depressive personality disorder
30113	cyclothymic disorder
30120	schizoid personality disorder unspecified
30121	introverted personality
30122	schizotypal personality disorder
3013	explosive personality disorder
3014	obsessive compulsive personality disorder
30150	histrionic personality disorder unspecified
30151	chronic factitious illness with physical symptoms
30159	other histrionic personality disorder
3016	dependent personality disorder
3017	antisocial personality disorder
30181	narcissistic personality disorder
30182	avoidant personality disorder
30183	borderline personality disorder
30184	passive aggressive personality
30189	other personality disorders
3019	unspecified personality disorder
3020	ego dystonic sexual orientation
3021	zoophilia
3022	pedophilia
3023	transvestic fetishism
3024	exhibitionism
30250	trans sexualism with unspecified sexual history
30251	trans sexualism with asexual history
30252	trans sexualism with homosexual history
30253	trans sexualism with heterosexual history
3026	gender identity disorder in children
30270	psychosexual dysfunction unspecified
30271	hypoactive sexual desire disorder
30272	psychosexual dysfunction with inhibited sexual excitement
30273	female orgasmic disorder
30274	male orgasmic disorder
30275	premature ejaculation
30276	dyspareunia psychogenic
30279	psychosexual dysfunction with other specified psychosexual dysfunctions
30281	fetishism
30282	voyeurism
30283	sexual masochism
30284	sexual sadism
30285	gender identity disorder in adolescents or adults
30289	other specified psychosexual disorders
3029	unspecified psychosexual disorder
30300	acute alcoholic intoxication in alcoholism unspecified
30301	acute alcoholic intoxication in alcoholism continuous
30302	acute alcoholic intoxication in alcoholism episodic
30303	acute alcoholic intoxication in alcoholism in remission
30390	other and unspecified alcohol dependence unspecified
30391	other and unspecified alcohol dependence continuous
30392	other and unspecified alcohol dependence episodic
30393	other and unspecified alcohol dependence in remission
30400	opioid type dependence unspecified
30401	opioid type dependence continuous
30402	opioid type dependence episodic
30403	opioid type dependence in remission
30410	sedative hypnotic or anxiolytic dependence unspecified
30411	sedative hypnotic or anxiolytic dependence continuous
30412	sedative hypnotic or anxiolytic dependence episodic
30413	sedative hypnotic or anxiolytic dependence in remission
30420	cocaine dependence unspecified
30421	cocaine dependence continuous
30422	cocaine dependence episodic
30423	cocaine dependence in remission
30430	cannabis dependence unspecified
30431	cannabis dependence continuous
30432	cannabis dependence episodic
30433	cannabis dependence in remission
30440	amphetamine and other psychostimulant dependence unspecified
30441	amphetamine and other psychostimulant dependence continuous
30442	amphetamine and other psychostimulant dependence episodic
30443	amphetamine and other psychostimulant dependence in remission
30450	hallucinogen dependence unspecified
30451	hallucinogen dependence continuous
30452	hallucinogen dependence episodic
30453	hallucinogen dependence in remission
30460	other specified drug dependence unspecified
30461	other specified drug dependence continuous
30462	other specified drug dependence episodic
30463	other specified drug dependence in remission
30470	combinations of opioid type drug with any other drug dependence unspecified
30471	combinations of opioid type drug with any other drug dependence continuous
30472	combinations of opioid type drug with any other drug dependence episodic
30473	combinations of opioid type drug with any other drug dependence in remission
30480	combinations of drug dependence excluding opioid type drug unspecified
30481	combinations of drug dependence excluding opioid type drug continuous
30482	combinations of drug dependence excluding opioid type drug episodic
30483	combinations of drug dependence excluding opioid type drug in remission
30490	unspecified drug dependence unspecified
30491	unspecified drug dependence continuous
30492	unspecified drug dependence episodic
30493	unspecified drug dependence in remission
30500	alcohol abuse unspecified
30501	alcohol abuse continuous
30502	alcohol abuse episodic
30503	alcohol abuse in remission
3051	tobacco use disorder
30520	cannabis abuse unspecified
30521	cannabis abuse continuous
30522	cannabis abuse episodic
30523	cannabis abuse in remission
30530	hallucinogen abuse unspecified
30531	hallucinogen abuse continuous
30532	hallucinogen abuse episodic
30533	hallucinogen abuse in remission
30540	sedative hypnotic or anxiolytic abuse unspecified
30541	sedative hypnotic or anxiolytic abuse continuous
30542	sedative hypnotic or anxiolytic abuse episodic
30543	sedative hypnotic or anxiolytic abuse in remission
30550	opioid abuse unspecified
30551	opioid abuse continuous
30552	opioid abuse episodic
30553	opioid abuse in remission
30560	cocaine abuse unspecified
30561	cocaine abuse continuous
30562	cocaine abuse episodic
30563	cocaine abuse in remission
30570	amphetamine or related acting sympathomimetic abuse unspecified
30571	amphetamine or related acting sympathomimetic abuse continuous
30572	amphetamine or related acting sympathomimetic abuse episodic
30573	amphetamine or related acting sympathomimetic abuse in remission
30580	antidepressant type abuse unspecified
30581	antidepressant type abuse continuous
30582	antidepressant type abuse episodic
30583	antidepressant type abuse in remission
30590	other mixed or unspecified drug abuse unspecified
30591	other mixed or unspecified drug abuse continuous
30592	other mixed or unspecified drug abuse episodic
30593	other mixed or unspecified drug abuse in remission
3060	musculoskeletal malfunction arising from mental factors
3061	respiratory malfunction arising from mental factors
3062	cardiovascular malfunction arising from mental factors
3063	skin disorder arising from mental factors
3064	gastrointestinal malfunction arising from mental factors
30650	psychogenic genitourinary malfunction unspecified
30651	psychogenic vaginismus
30652	psychogenic dysmenorrhea
30653	psychogenic dysuria
30659	other genitourinary malfunction arising from mental factors
3066	endocrine disorder arising from mental factors
3067	disorder of organs of special sense arising from mental factors
3068	other specified psychophysiological malfunction
3069	unspecified psychophysiological malfunction
3070	adult onset fluency disorder
3071	anorexia nervosa
30720	tic disorder unspecified
30721	transient tic disorder
30722	chronic motor or vocal tic disorder
30723	tourettes disorder
3073	stereotypic movement disorder
30740	nonorganic sleep disorder unspecified
30741	transient disorder of initiating or maintaining sleep
30742	persistent disorder of initiating or maintaining sleep
30743	transient disorder of initiating or maintaining wakefulness
30744	persistent disorder of initiating or maintaining wakefulness
30745	circadian rhythm sleep disorder of nonorganic origin
30746	sleep arousal disorder
30747	other dysfunctions of sleep stages or arousal from sleep
30748	repetitive intrusions of sleep
30749	other specific disorders of sleep of nonorganic origin
30750	eating disorder unspecified
30751	bulimia nervosa
30752	pica
30753	rumination disorder
30754	psychogenic vomiting
30759	other disorders of eating
3076	enuresis
3077	encopresis
30780	psychogenic pain site unspecified
30781	tension headache
30789	other pain disorders related to psychological factors
3079	other and unspecified special symptoms or syndromes not elsewhere classified
3080	predominant disturbance of emotions
3081	predominant disturbance of consciousness
3082	predominant psychomotor disturbance
3083	other acute reactions to stress
3084	mixed disorders as reaction to stress
3089	unspecified acute reaction to stress
3090	adjustment disorder with depressed mood
3091	prolonged depressive reaction
30921	separation anxiety disorder
30922	emancipation disorder of adolescence and early adult life
30923	specific academic or work inhibition
30924	adjustment disorder with anxiety
30928	adjustment disorder with mixed anxiety and depressed mood
30929	other adjustment reactions with predominant disturbance of other emotions
3093	adjustment disorder with disturbance of conduct
3094	adjustment disorder with mixed disturbance of emotions and conduct
30981	posttraumatic stress disorder
30982	adjustment reaction with physical symptoms
30983	adjustment reaction with withdrawal
30989	other specified adjustment reactions
3099	unspecified adjustment reaction
3100	frontal lobe syndrome
3101	personality change due to conditions classified elsewhere
3102	postconcussion syndrome
31081	pseudobulbar affect
31089	other specified nonpsychotic mental disorders following organic brain damage
3109	unspecified nonpsychotic mental disorder following organic brain damage
311	depressive disorder not elsewhere classified
31200	undersocialized conduct disorder aggressive type unspecified
31201	undersocialized conduct disorder aggressive type mild
31202	undersocialized conduct disorder aggressive type moderate
31203	undersocialized conduct disorder aggressive type severe
31210	undersocialized conduct disorder unaggressive type unspecified
31211	undersocialized conduct disorder unaggressive type mild
31212	undersocialized conduct disorder unaggressive type moderate
31213	undersocialized conduct disorder unaggressive type severe
31220	socialized conduct disorder unspecified
31221	socialized conduct disorder mild
31222	socialized conduct disorder moderate
31223	socialized conduct disorder severe
31230	impulse control disorder unspecified
31231	pathological gambling
31232	kleptomania
31233	pyromania
31234	intermittent explosive disorder
31235	isolated explosive disorder
31239	other disorders of impulse control
3124	mixed disturbance of conduct and emotions
31281	conduct disorder childhood onset type
31282	conduct disorder adolescent onset type
31289	other conduct disorder
3129	unspecified disturbance of conduct
3130	overanxious disorder specific to childhood and adolescence
3131	misery and unhappiness disorder specific to childhood and adolescence
31321	shyness disorder of childhood
31322	introverted disorder of childhood
31323	selective mutism
3133	relationship problems specific to childhood and adolescence
31381	oppositional defiant disorder
31382	identity disorder of childhood or adolescence
31383	academic underachievement disorder of childhood or adolescence
31389	other emotional disturbances of childhood or adolescence
3139	unspecified emotional disturbance of childhood or adolescence
31400	attention deficit disorder without mention of hyperactivity
31401	attention deficit disorder with hyperactivity
3141	hyperkinesis with developmental delay
3142	hyperkinetic conduct disorder
3148	other specified manifestations of hyperkinetic syndrome
3149	unspecified hyperkinetic syndrome
31500	developmental reading disorder unspecified
31501	alexia
31502	developmental dyslexia
31509	other specific developmental reading disorder
3151	mathematics disorder
3152	other specific developmental learning difficulties
31531	expressive language disorder
31532	mixed receptive expressive language disorder
31534	speech and language developmental delay due to hearing loss
31535	childhood onset fluency disorder
31539	other developmental speech or language disorder
3154	developmental coordination disorder
3155	mixed development disorder
3158	other specified delays in development
3159	unspecified delay in development
316	psychic factors associated with diseases classified elsewhere
317	mild intellectual disabilities
3180	moderate intellectual disabilities
3181	severe intellectual disabilities
3182	profound intellectual disabilities
319	unspecified intellectual disabilities
3200	hemophilus meningitis
3201	pneumococcal meningitis
3202	streptococcal meningitis
3203	staphylococcal meningitis
3207	meningitis in other bacterial diseases classified elsewhere
32081	anaerobic meningitis
32082	meningitis due to gram negative bacteria not elsewhere classified
32089	meningitis due to other specified bacteria
3209	meningitis due to unspecified bacterium
